line,departure_name,departure_time,arrival_time,arrival_name,distance,pause,rotation_id,vehicle_type
501,Luebben Betriebshof,2022-02-01T05:55:00,2022-02-01T05:56:00,Luebben Postbautenstr,130,5,50103,NFB
501,Luebben Postbautenstr,2022-02-01T06:01:00,2022-02-01T06:27:00,Krausnick Wendeplatz,18054,2,50103,NFB
501,Krausnick Wendeplatz,2022-02-01T06:29:00,2022-02-01T07:01:00,Neu Luebbenau Hauptstr,19974,0,50103,NFB
501,Neu Luebbenau Hauptstr,2022-02-01T07:01:00,2022-02-01T07:39:00,Luebben Cottbuser Str,23973,0,50103,NFB
501,Luebben Cottbuser Str,2022-02-01T07:39:00,2022-02-01T07:49:00,Luebben Betriebshof,5400,0,50103,NFB
503,Luebben Betriebshof,2022-02-01T05:03:00,2022-02-01T05:04:00,Luebben Postbauenstr.,130,5,50313,NFB
503,Luebben Postbauenstr,2022-02-01T05:09:00,2022-02-01T05:40:00,Alt-Schadow,25049,0,50313,NFB
503,Alt-Schadow,2022-02-01T05:40:00,2022-02-01T06:19:00,Luebben Bahnhof,33558,15,50313,NFB
503,Luebben Bahnhof,2022-02-01T06:34:00,2022-02-01T07:05:00,Groeditsch Schule,33558,2,50313,NFB
503,Groeditsch Schule,2022-02-01T07:07:00,2022-02-01T07:40:00,Goyatz Schule,20523,0,50313,NFB
503,Goyatz Schule,2022-02-01T07:40:00,2022-02-01T08:10:00,Luebben Betriebshof,23829,298,50313,NFB
503,Luebben Betriebshof,2022-02-01T13:15:00,2022-02-01T13:25:00,Luebben Bahnhof,4220,5,50323,NFB
503,Luebben Bahnhof,2022-02-01T13:30:00,2022-02-01T14:10:00,Leibsch Leibscher Hauptstr,28895,0,50323,NFB
503,Leibsch Leibscher Hauptstr,2022-02-01T14:10:00,2022-02-01T14:32:00,Luebben Am Ostbahnhof,28895,5,50323,NFB
503,Luebben Am Ostbahnhof,2022-02-01T14:32:00,2022-02-01T14:40:00,Radensdorf Hauptstr,18140,5,50323,NFB
503,Radensdorf Hauptstr,2022-02-01T15:00:00,2022-02-01T15:28:00,Goyatz Schule,20564,1,50323,NFB
503,Goyatz Schule,2022-02-01T15:29:00,2022-02-01T15:57:00,Radensdorf Hauptstr,22736,1,50323,NFB
503,Radensdorf Hauptstr,2022-02-01T15:58:00,2022-02-01T16:18:00,Luebben Bahnhof,9905,0,50323,NFB
503,Luebben Bahnhof,2022-02-01T16:18:00,2022-02-01T16:28:00,Luebben Betriebshof,4140,0,50323,NFB
504,Luebben Betriebshof,2022-02-01T13:35:00,2022-02-01T13:40:00,Luebben Frankfurter Str ,2687,5,50403,NFB
504,Luebben Frankfurter Str,2022-02-01T13:45:00,2022-02-01T14:16:00,Schoenwalde Bahnhof,20100,0,50403,NFB
504,Schoenwalde Bahnhof,2022-02-01T14:16:00,2022-02-01T14:49:00,Luebben Bahnhof,26585,0,50403,NFB
504,Luebben Bahnhof,2022-02-01T14:49:00,2022-02-01T14:59:00,Luebben Stellplatz Betriebshof,4140,25,50403,NFB
504,Luebben Stellplatz Betriebshof,2022-02-01T15:24:00,2022-02-01T15:34:00,Luebben Bahnhof,4220,0,50403,NFB
504,Luebben Bahnhof,2022-02-01T15:38:00,2022-02-01T16:23:00,Alt-Schadow,31194,1,50403,NFB
504,Alt-Schadow,2022-02-01T16:24:00,2022-02-01T16:56:00,Luebben Bahnhof,26640,2,50403,NFB
504,Luebben Bahnhof,2022-02-01T16:58:00,2022-02-01T17:40:00,Alt-Schadow,34503,0,50403,NFB
504,Alt-Schadow,2022-02-01T17:40:00,2022-02-01T18:12:00,Luebben Bahnhof,26640,30,50403,NFB
504,Luebben Bahnhof,2022-02-01T18:43:00,2022-02-01T19:23:00,Wittmannsdorf Kossenblatter Str,28362,0,50403,NFB
504,Wittmannsdorf Kossenblatter Str,2022-02-01T19:23:00,2022-02-01T19:59:00,Luebben Bahnhof,28437,1,50403,NFB
504,Luebben Bahnhof,2022-02-01T20:00:00,2022-02-01T20:12:00,Luebben Reha-Zentrum,5470,0,50403,NFB
504,Luebben Reha-Zentrum,2022-02-01T20:12:00,2022-02-01T20:15:00,Luebben Betriebshof,1370,0,50403,NFB
505,Luebben Betriebshof,2022-02-01T05:55:00,2022-02-01T06:25:00,Goyatz Schule,23410,5,50513,NFB
505,Goyatz Schule,2022-02-01T06:30:00,2022-02-01T06:50:00,Goyatz Am Bahnhof,13660,5,50513,NFB
505,Goyatz Am Bahnhof,2022-02-01T06:51:00,2022-02-01T07:14:00,Radensdorf Hauptstr,18725,5,50513,NFB
505,Radensdorf Hauptstr,2022-02-01T07:15:00,2022-02-01T07:32:00,Luebben Bahnhof,9371,1,50513,NFB
505,Luebben Bahnhof,2022-02-01T07:33:00,2022-02-01T07:37:00,Luebben Cottbuser Str,1800,0,50513,NFB
505,Luebben Cottbuser Str,2022-02-01T07:37:00,2022-02-01T07:47:00,Luebben Betriebshof,5400,174,50513,NFB
505,Luebben Betriebshof,2022-02-01T10:48:00,2022-02-01T10:55:00,Radensdorf Hauptstr,5100,0,50523,NFB
505,Radensdorf Hauptstr,2022-02-01T11:00:00,2022-02-01T11:28:00,Goyatz Schule,20564,1,50523,NFB
505,Goyatz Schule,2022-02-01T11:29:00,2022-02-01T11:53:00,Radensdorf Hauptstr,19229,7,50523,NFB
505,Radensdorf Hauptstr,2022-02-01T12:00:00,2022-02-01T12:17:00,Glietz,13712,0,50523,NFB
505,Glietz,2022-02-01T12:17:00,2022-02-01T12:28:00,Groeditsch Schule,10840,15,50523,NFB
505,Groeditsch Schule,2022-02-01T12:43:00,2022-02-01T13:06:00,Glietz,17792,0,50523,NFB
505,Glietz,2022-02-01T13:06:00,2022-02-01T13:17:00,Klein Leuthen,8920,0,50513,NFB
505,Klein Leuthen,2022-02-01T13:17:00,2022-02-01T13:34:00,Goyatz Schule,13400,0,50523,NFB
505,Goyatz Schule,2022-02-01T13:34:00,2022-02-01T14:16:00,Groeditsch Schule,29576,1,50523,NFB
505,Groeditsch Schule,2022-02-01T14:17:00,2022-02-01T14:39:00,Goyatz Schule,17767,39,50523,NFB
505,Goyatz Schule,2022-02-01T15:18:00,2022-02-01T15:53:00,Groeditsch Schule,27031,0,50523,NFB
505,Groeditsch Schule,2022-02-01T15:53:00,2022-02-01T16:06:00,Schlepzig Bergstr,10123,0,50523,NFB
505,Schlepzig Bergstr,2022-02-01T16:06:00,2022-02-01T16:25:00,Schoenwalde Amtsverwaltung,14701,0,50523,NFB
505,Schoenwalde Amtsverwaltung,2022-02-01T16:25:00,2022-02-01T16:52:00,Schlepzig Bergstr,21954,0,50523,NFB
505,Bergstr,2022-02-01T16:52:00,2022-02-01T17:07:00,Luebben Betriebshof,11500,0,50523,NFB
506,Luebben Betriebshof,2022-02-01T13:15:00,2022-02-01T13:45:00,Goyatz Schule,23410,5,50603,NFB
506,Goyatz Schule,2022-02-01T13:50:00,2022-02-01T14:35:00,Lieberose Markt,30536,0,50603,NFB
506,Lieberose Markt,2022-02-01T14:35:00,2022-02-01T15:11:00,Goyatz Schule,28947,0,50603,NFB
506,Goyatz Schule,2022-02-01T15:11:00,2022-02-01T15:49:00,Burg Stuetzpunkt CV,28600,54,50603,NFB
506,Burg Stuetzpunkt CV,2022-02-01T16:43:00,2022-02-01T16:48:00,Burg Lindenstr,1500,5,50603,NFB
506,Burg Lindenstr,2022-02-01T16:53:00,2022-02-01T17:35:00,Goyatz Schule,36373,0,50603,NFB
506,Goyatz Schule,2022-02-01T17:35:00,2022-02-01T18:03:00,Lieberose Markt,24452,0,50603,NFB
506,Lieberose Markt,2022-02-01T18:03:00,2022-02-01T18:22:00,Goyatz Schule,15596,7,50603,NFB
506,Goyatz Schule,2022-02-01T18:29:00,2022-02-01T18:53:00,Radensdorf Hauptstr,19229,7,50603,NFB
506,Radensdorf Hauptstr,2022-02-01T19:00:00,2022-02-01T20:02:00,Burg Hotel Bleske,48257,0,50603,NFB
506,Burg Hotel Bleske,2022-02-01T20:02:00,2022-02-01T20:07:00,Burg Stuetzpunkt CV,1500,35,50603,NFB
506,Burg Stuetzpunkt CV,2022-02-01T20:42:00,2022-02-01T20:47:00,Burg Lindenstr,1500,5,50603,NFB
506,Burg Lindenstr,2022-02-01T20:52:00,2022-02-01T21:52:00,Radensdorf Hauptstr,46359,0,50603,NFB
506,Radensdorf Hauptstr,2022-02-01T21:52:00,2022-02-01T22:12:00,Luebben Bahnhof,9905,0,50603,NFB
506,Luebben Bahnhof,2022-02-01T22:12:00,2022-02-01T22:21:00,Luebben Postbautenstr,3970,0,50603,NFB
506,Luebben Postbautenstr,2022-02-01T22:21:00,2022-02-01T22:22:00,Luebben Betriebshof,130,0,50603,NFB
507,Luebben Betriebshof,2022-02-01T05:25:00,2022-02-01T05:35:00,Luebben Bahnhof,4220,5,50704,NFB
507,Luebben Bahnhof,2022-02-01T05:40:00,2022-02-01T06:28:00,Burg Hotel Bleske,32937,0,50704,NFB
507,Burg Hotel Bleske,2022-02-01T06:28:00,2022-02-01T06:29:00,Burg Lindenstr,317,3,50704,NFB
507,Burg Lindenstr,2022-02-01T06:32:00,2022-02-01T07:20:00,Luebben Bahnhof,33033,20,50704,NFB
507,Luebben Bahnhof,2022-02-01T07:40:00,2022-02-01T08:28:00,Burg Hotel Bleske,32937,0,50704,NFB
507,Burg Hotel Bleske,2022-02-01T08:28:00,2022-02-01T08:29:00,LBurg Lindenstr,317,3,50704,NFB
507,Burg Lindenstr,2022-02-01T08:32:00,2022-02-01T09:20:00,Luebben Bahnhof,33033,20,50704,NFB
507,Luebben Bahnhof,2022-02-01T09:40:00,2022-02-01T10:28:00,Burg Hotel Bleske,32937,0,50704,NFB
507,Burg Hotel Bleske,2022-02-01T10:28:00,2022-02-01T10:29:00,LBurg Lindenstr,317,3,50704,NFB
507,Burg Lindenstr,2022-02-01T10:32:00,2022-02-01T11:20:00,Luebben Bahnhof,33033,20,50704,NFB
507,Luebben Bahnhof,2022-02-01T11:40:00,2022-02-01T12:28:00,Burg Hotel Bleske,32937,0,50704,NFB
507,Burg Hotel Bleske,2022-02-01T12:28:00,2022-02-01T12:29:00,LBurg Lindenstr,317,3,50704,NFB
507,Burg Lindenstr,2022-02-01T12:32:00,2022-02-01T13:20:00,Luebben Bahnhof,33033,20,50704,NFB
507,Luebben Bahnhof,2022-02-01T13:20:00,2022-02-01T13:30:00,Luebben Betriebshof,4140,0,50704,NFB
508,Luebben Betriebshof,2022-02-01T13:25:00,2022-02-01T13:35:00,Luebben Bahnhof,4220,5,50804,NFB
508,Luebben Bahnhof,2022-02-01T13:40:00,2022-02-01T13:28:00,Burg Hotel Bleske,32937,0,50804,NFB
508,Burg Hotel Bleske,2022-02-01T14:28:00,2022-02-01T14:29:00,Burg Lindenstr,317,3,50804,NFB
508,Burg Lindenstr,2022-02-01T14:32:00,2022-02-01T15:20:00,Luebben Bahnhof,33033,20,50804,NFB
508,Luebben Bahnhof,2022-02-01T15:40:00,2022-02-01T16:28:00,Burg Hotel Bleske,32937,0,50804,NFB
508,Burg Hotel Bleske,2022-02-01T16:28:00,2022-02-01T16:29:00,LBurg Lindenstr,317,3,50804,NFB
508,Burg Lindenstr,2022-02-01T16:32:00,2022-02-01T17:20:00,Luebben Bahnhof,33033,20,50804,NFB
508,Luebben Bahnhof,2022-02-01T17:40:00,2022-02-01T18:28:00,Burg Hotel Bleske,32937,0,50804,NFB
508,Burg Hotel Bleske,2022-02-01T18:28:00,2022-02-01T18:29:00,LBurg Lindenstr,317,3,50804,NFB
508,Burg Lindenstr,2022-02-01T18:32:00,2022-02-01T19:20:00,Luebben Bahnhof,33033,20,50804,NFB
508,Luebben Bahnhof,2022-02-01T19:40:00,2022-02-01T20:28:00,Burg Hotel Bleske,32937,0,50804,NFB
508,Burg Hotel Bleske,2022-02-01T20:28:00,2022-02-01T20:29:00,LBurg Lindenstr,317,3,50804,NFB
508,Burg Lindenstr,2022-02-01T20:32:00,2022-02-01T21:20:00,Luebben Bahnhof,33033,0,50804,NFB
508,Luebben Bahnhof,2022-02-01T21:20:00,2022-02-01T21:29:00,Luebben Postbautenstr,3970,0,50804,NFB
508,Luebben Postbautenstr,2022-02-01T21:29:00,2022-02-01T21:30:00,Luebben Betriebshof,130,0,50804,NFB
509,Luebben Betriebshof,2022-02-01T05:45:00,2022-02-01T13:46:00,Luebben Postbautenstr,130,5,50903,NFB
509,Luebben Postbautenst,2022-02-01T05:51:00,2022-02-01T06:27:00,Maerkisch Buchholz Markt,28569,1,50903,NFB
509,Maerkisch Buchholz Markt,2022-02-01T06:28:00,2022-02-01T06:42:00,Hermsdorf,11314,0,50903,NFB
509,Hermsdorf,2022-02-01T06:42:00,2022-02-01T07:20:00,Teupitz Markt,25941,7,50903,NFB
509,Teupitz Markt,2022-02-01T07:27:00,2022-02-01T08:03:00,Hermsdorf,23155,0,50903,NFB
509,Hermsdorf,2022-02-01T08:03:00,2022-02-01T08:04:00,Hermsdorf Stellplatz,200,37,50903,NFB
509,Hermsdorf Stellplatz,2022-02-01T08:41:00,2022-02-01T08:52:00,Hermsdorf,200,5,50903,NFB
509,Hermsdorf,2022-02-01T08:47:00,2022-02-01T09:25:00,Teupitz Markt,25941,2,50903,NFB
509,Teupitz Markt,2022-02-01T09:27:00,2022-02-01T10:15:00,S Koenigs Wusterhausen Bhf,29931,0,50903,NFB
509,S Koenigs Wusterhausen Bhf,2022-02-01T10:15:00,2022-02-01T10:21:00,KWh Abstellplatz (M. -Gorki-Str),1700,13,50903,NFB
509,KWh Abstellplatz (M. -Gorki-Str),2022-02-01T10:34:00,2022-02-01T10:35:00,S Koenigs Wusterhausen Bhf,450,5,50903,NFB
509,S Koenigs Wusterhausen Bhf,2022-02-01T10:40:00,2022-02-01T11:26:00,Teupitz Markt,30466,1,50903,NFB
509,Teupitz Markt,2022-02-01T11:27:00,2022-02-01T12:06:00,Hermsdorf,25382,0,50903,NFB
509,Hermsdorf,2022-02-01T12:06:00,2022-02-01T12:07:00,Hermsdorf Stellplatz,200,34,50903,NFB
509,Hermsdorf Stellplatz,2022-02-01T12:41:00,2022-02-01T12:42:00,Hermsdorf,200,5,50903,NFB
509,Hermsdorf,2022-02-01T12:47:00,2022-02-01T13:02:00,Maerkisch Buchholz Markt,11220,3,50903,NFB
509,Maerkisch Buchholz Markt,2022-02-01T13:05:00,2022-02-01T13:54:00,Luebben Bahnhof,36693,0,50903,NFB
509,Luebben Bahnhof,2022-02-01T13:54:00,2022-02-01T14:04:00,Luebben Betriebshof,4140,0,50903,NFB
510,Luebben Betriebshof,2022-02-01T11:40:00,2022-02-01T11:45:00,Luebben Frankfurter Str,2687,2,51004,NFB
510,Luebben Frankfurter Str,2022-02-01T11:47:00,2022-02-01T12:13:00,Luebben Bahnhof,15090,0,51004,NFB
510,Luebben Bahnhof,2022-02-01T12:13:00,2022-02-01T12:23:00,Luebben Stellplatz Betriebshof,4140,25,51004,NFB
510,Luebben Stellplatz Betriebshof,2022-02-01T12:48:00,2022-02-01T12:49:00,Luebben Postbautenstr,130,4,51004,NFB
510,Luebben Postbautenstr,2022-02-01T12:53:00,2022-02-01T13:41:00,Luckau Am Anger,27372,0,51004,NFB
510,Luckau Am Anger,2022-02-01T13:41:00,2022-02-01T14:33:00,Luebben Reha-Zentrum,28871,3,51004,NFB
510,Luebben Reha-Zentrum,2022-02-01T14:36:00,2022-02-01T15:11:00,Luebben Reha-Zentrum,12612,10,51004,NFB
510,Luebben Reha-Zentrum,2022-02-01T15:21:00,2022-02-01T16:11:00,Luckau Am Anger,28822,0,51004,NFB
510,Luckau Am Anger,2022-02-01T16:11:00,2022-02-01T16:17:00,Luckau Stellplatz Betriebshof,5300,19,51004,NFB
510,Luckau Stellplatz Betriebshof,2022-02-01T16:36:00,2022-02-01T16:42:00,Luckau Schwimmbad,4080,1,51004,NFB
510,Luckau Schwimmbad,2022-02-01T16:43:00,2022-02-01T17:33:00,Luebben Reha-Zentrum,28871,3,51004,NFB
510,Luebben Reha-Zentrum,2022-02-01T17:36:00,2022-02-01T18:11:00,Luebben Reha-Zentrum,28871,10,51004,NFB
510,Luebben Reha-Zentrum,2022-02-01T18:21:00,2022-02-01T19:11:00,Luckau Am Anger,28822,0,51004,NFB
510,Luckau Am Anger,2022-02-01T19:11:00,2022-02-01T19:17:00,Luckau Stellplatz Betriebshof,5300,15,51004,NFB
510,Luckau Stellplatz Betriebshof,2022-02-01T19:33:00,2022-02-01T19:39:00,Luckau Schwimmbad,4080,4,51004,NFB
510,Luckau Schwimmbad,2022-02-01T19:43:00,2022-02-01T20:33:00,Luckau Reha-Zentrum,28871,0,51004,NFB
510,Luckau Reha-Zentrum,2022-02-01T20:33:00,2022-02-01T20:36:00,Luebben Betriebshof,1370,0,51004,NFB
511,Luebben Betriebshof,2022-02-01T05:11:00,2022-02-01T05:12:00,Luebben Postbautenstr,130,5,51113,NFB
511,Luebben Postbautenstr,2022-02-01T05:17:00,2022-02-01T05:43:00,Pretschen Pretschener Anger,21045,0,51113,NFB
