hour,temperature
00,-1.1
01,-1.1
02,-2.2
03,-2.7
04,-2.7
05,-2.7
06,-2.7
07,-3.8
08,-3.8
09,-3.8
10,-3.8
11,-2.7
12,-1.1
13,1.1
14,2.2
15,2.2
16,1.1
17,0
18,0
19,-1.1
20,-1.1
21,-1.1
22,-1.1
23,-1.1
