vehicle_type,level_of_loading,incline,mean_speed_kmh,t_amb,consumption_kwh_per_km
SB,0,0,30,35,1.137
SB,0,0,37.1,-15,1.76
SB,0,0,37.1,-5,1.484
SB,0,0,37.1,5,1.232
SB,0,0,37.1,15,1.006
SB,0,0,37.1,25,0.932
SB,0,0,37.1,35,1.062
SB,0,0.01,12.1,-15,4.742
SB,0,0.01,12.1,-5,3.597
SB,0,0.01,12.1,5,2.618
SB,0,0.01,12.1,15,1.808
SB,0,0.01,12.1,25,1.592
SB,0,0.01,12.1,35,2.087
SB,0,0.01,18,-15,3.497
SB,0,0.01,18,-5,2.777
SB,0,0.01,18,5,2.154
SB,0,0.01,18,15,1.628
SB,0,0.01,18,25,1.482
SB,0,0.01,18,35,1.8
SB,0,0.01,25.2,-15,2.602
SB,0,0.01,25.2,-5,2.207
SB,0,0.01,25.2,5,1.849
SB,0,0.01,25.2,15,1.528
SB,0,0.01,25.2,25,1.429
SB,0,0.01,25.2,35,1.624
SB,0,0.01,30,-15,2.364
SB,0,0.01,30,-5,2.039
SB,0,0.01,30,5,1.743
SB,0,0.01,30,15,1.474
SB,0,0.01,30,25,1.388
SB,0,0.01,30,35,1.548
SB,0,0.01,37.1,-15,2.183
SB,0,0.01,37.1,-5,1.907
SB,0,0.01,37.1,5,1.655
SB,0,0.01,37.1,15,1.428
SB,0,0.01,37.1,25,1.354
SB,0,0.01,37.1,35,1.484
SB,0,0.02,12.1,-15,5.128
SB,0,0.02,12.1,-5,3.983
SB,0,0.02,12.1,5,3.005
SB,0,0.02,12.1,15,2.194
SB,0,0.02,12.1,25,1.978
SB,0,0.02,12.1,35,2.473
SB,0,0.02,18,-15,3.895
SB,0,0.02,18,-5,3.175
SB,0,0.02,18,5,2.551
SB,0,0.02,18,15,2.026
SB,0,0.02,18,25,1.88
SB,0,0.02,18,35,2.198
SB,0,0.02,25.2,-15,3.003
SB,0,0.02,25.2,-5,2.608
SB,0,0.02,25.2,5,2.25
SB,0,0.02,25.2,15,1.928
SB,0,0.02,25.2,25,1.83
SB,0,0.02,25.2,35,2.025
SB,0,0.02,30,-15,2.775
SB,0,0.02,30,-5,2.451
SB,0,0.02,30,5,2.154
SB,0,0.02,30,15,1.885
SB,0,0.02,30,25,1.8
SB,0,0.02,30,35,1.96
SB,0,0.02,37.1,-15,2.606
SB,0,0.02,37.1,-5,2.329
SB,0,0.02,37.1,5,2.078
SB,0,0.02,37.1,15,1.851
SB,0,0.02,37.1,25,1.777
SB,0,0.02,37.1,35,1.907
SB,0,0.03,12.1,-15,5.514
SB,0,0.03,12.1,-5,4.37
SB,0,0.03,12.1,5,3.391
SB,0,0.03,12.1,15,2.58
SB,0,0.03,12.1,25,2.364
SB,0,0.03,12.1,35,2.859
SB,0,0.03,18,-15,4.293
SB,0,0.03,18,-5,3.573
SB,0,0.03,18,5,2.949
SB,0,0.03,18,15,2.424
SB,0,0.03,18,25,2.278
SB,0,0.03,18,35,2.596
SB,0,0.03,25.2,-15,3.405
SB,0,0.03,25.2,-5,3.01
SB,0,0.03,25.2,5,2.652
SB,0,0.03,25.2,15,2.33
SB,0,0.03,25.2,25,2.231
SB,0,0.03,25.2,35,2.427
SB,0,0.03,30,-15,3.187
SB,0,0.03,30,-5,2.862
SB,0,0.03,30,5,2.566
SB,0,0.03,30,15,2.297
SB,0,0.03,30,25,2.211
SB,0,0.03,30,35,2.371
SB,0,0.03,37.1,-15,3.028
SB,0,0.03,37.1,-5,2.752
SB,0,0.03,37.1,5,2.5
SB,0,0.03,37.1,15,2.274
SB,0,0.03,37.1,25,2.2
SB,0,0.03,37.1,35,2.329
SB,0,0.04,12.1,-15,5.9
SB,0,0.04,12.1,-5,4.756
SB,0,0.04,12.1,5,3.777
SB,0,0.04,12.1,15,2.966
SB,0,0.04,12.1,25,2.75
SB,0,0.04,12.1,35,3.245
SB,0,0.04,18,-15,4.691
SB,0,0.04,18,-5,3.971
SB,0,0.04,18,5,3.347
SB,0,0.04,18,15,2.821
SB,0,0.04,18,25,2.676
SB,0,0.04,18,35,2.994
SB,0,0.04,25.2,-15,3.806
SB,0,0.04,25.2,-5,3.411
SB,0,0.04,25.2,5,3.053
SB,0,0.04,25.2,15,2.732
SB,0,0.04,25.2,25,2.633
SB,0,0.04,25.2,35,2.828
SB,0,0.04,30,-15,3.599
SB,0,0.04,30,-5,3.274
SB,0,0.04,30,5,2.977
SB,0,0.04,30,15,2.709
SB,0,0.04,30,25,2.623
SB,0,0.04,30,35,2.783
SB,0,0.04,37.1,-15,3.451
SB,0,0.04,37.1,-5,3.175
SB,0,0.04,37.1,5,2.923
SB,0,0.04,37.1,15,2.696
SB,0,0.04,37.1,25,2.623
SB,0,0.04,37.1,35,2.752
SB,0.3,-0.04,12.1,-15,2.648
SB,0.3,-0.04,12.1,-5,1.504
SB,0.3,-0.04,12.1,5,0.526
SB,0.3,-0.04,12.1,15,-0.284
SB,0.3,-0.04,12.1,25,-0.177
SB,0.3,-0.04,12.1,35,0.373
SB,0.3,-0.04,18,-15,1.4
SB,0.3,-0.04,18,-5,0.682
SB,0.3,-0.04,18,5,0.059
SB,0.3,-0.04,18,15,-0.466
SB,0.3,-0.04,18,25,-0.393
SB,0.3,-0.04,18,35,-0.036
SB,0.3,-0.04,25.2,-15,0.505
SB,0.3,-0.04,25.2,-5,0.111
SB,0.3,-0.04,25.2,5,-0.246
SB,0.3,-0.04,25.2,15,-0.566
SB,0.3,-0.04,25.2,25,-0.508
SB,0.3,-0.04,25.2,35,-0.285
SB,0.3,-0.04,30,-15,0.268
SB,0.3,-0.04,30,-5,-0.054
SB,0.3,-0.04,30,5,-0.349
SB,0.3,-0.04,30,15,-0.616
SB,0.3,-0.04,30,25,-0.569
SB,0.3,-0.04,30,35,-0.385
SB,0.3,-0.04,37.1,-15,0.085
SB,0.3,-0.04,37.1,-5,-0.189
SB,0.3,-0.04,37.1,5,-0.437
SB,0.3,-0.04,37.1,15,-0.661
SB,0.3,-0.04,37.1,25,-0.627
SB,0.3,-0.04,37.1,35,-0.477
SB,0.3,-0.03,12.1,-15,3.025
SB,0.3,-0.03,12.1,-5,1.881
SB,0.3,-0.03,12.1,5,0.902
SB,0.3,-0.03,12.1,15,0.092
SB,0.3,-0.03,12.1,25,0.2
SB,0.3,-0.03,12.1,35,0.75
SB,0.3,-0.03,18,-15,1.786
SB,0.3,-0.03,18,-5,1.067
SB,0.3,-0.03,18,5,0.444
SB,0.3,-0.03,18,15,-0.08
SB,0.3,-0.03,18,25,-0.007
SB,0.3,-0.03,18,35,0.349
SB,0.3,-0.03,25.2,-15,0.901
SB,0.3,-0.03,25.2,-5,0.507
SB,0.3,-0.03,25.2,5,0.151
SB,0.3,-0.03,25.2,15,-0.17
SB,0.3,-0.03,25.2,25,-0.112
SB,0.3,-0.03,25.2,35,0.111
SB,0.3,-0.03,30,-15,0.651
SB,0.3,-0.03,30,-5,0.329
SB,0.3,-0.03,30,5,0.034
SB,0.3,-0.03,30,15,-0.233
SB,0.3,-0.03,30,25,-0.186
SB,0.3,-0.03,30,35,-0.002
SB,0.3,-0.03,37.1,-15,0.455
SB,0.3,-0.03,37.1,-5,0.181
SB,0.3,-0.03,37.1,5,-0.067
SB,0.3,-0.03,37.1,15,-0.292
SB,0.3,-0.03,37.1,25,-0.257
SB,0.3,-0.03,37.1,35,-0.107
SB,0.3,-0.02,12.1,-15,3.402
SB,0.3,-0.02,12.1,-5,2.257
SB,0.3,-0.02,12.1,5,1.279
SB,0.3,-0.02,12.1,15,0.469
SB,0.3,-0.02,12.1,25,0.577
SB,0.3,-0.02,12.1,35,1.127
SB,0.3,-0.02,18,-15,2.171
SB,0.3,-0.02,18,-5,1.452
SB,0.3,-0.02,18,5,0.83
SB,0.3,-0.02,18,15,0.305
SB,0.3,-0.02,18,25,0.378
SB,0.3,-0.02,18,35,0.735
SB,0.3,-0.02,25.2,-15,1.298
SB,0.3,-0.02,25.2,-5,0.904
SB,0.3,-0.02,25.2,5,0.548
SB,0.3,-0.02,25.2,15,0.227
SB,0.3,-0.02,25.2,25,0.285
SB,0.3,-0.02,25.2,35,0.508
SB,0.3,-0.02,30,-15,1.035
SB,0.3,-0.02,30,-5,0.713
SB,0.3,-0.02,30,5,0.418
SB,0.3,-0.02,30,15,0.151
SB,0.3,-0.02,30,25,0.198
SB,0.3,-0.02,30,35,0.382
SB,0.3,-0.02,37.1,-15,0.825
SB,0.3,-0.02,37.1,-5,0.551
SB,0.3,-0.02,37.1,5,0.303
SB,0.3,-0.02,37.1,15,0.078
SB,0.3,-0.02,37.1,25,0.113
SB,0.3,-0.02,37.1,35,0.263
SB,0.3,-0.01,12.1,-15,3.79
SB,0.3,-0.01,12.1,-5,2.646
SB,0.3,-0.01,12.1,5,1.667
SB,0.3,-0.01,12.1,15,0.856
SB,0.3,-0.01,12.1,25,0.964
SB,0.3,-0.01,12.1,35,1.514
SB,0.3,-0.01,18,-15,2.587
SB,0.3,-0.01,18,-5,1.867
SB,0.3,-0.01,18,5,1.243
SB,0.3,-0.01,18,15,0.717
SB,0.3,-0.01,18,25,0.79
SB,0.3,-0.01,18,35,1.145
SB,0.3,-0.01,25.2,-15,1.728
SB,0.3,-0.01,25.2,-5,1.333
SB,0.3,-0.01,25.2,5,0.975
SB,0.3,-0.01,25.2,15,0.653
SB,0.3,-0.01,25.2,25,0.71
SB,0.3,-0.01,25.2,35,0.932
SB,0.3,-0.01,30,-15,1.475
SB,0.3,-0.01,30,-5,1.151
SB,0.3,-0.01,30,5,0.854
SB,0.3,-0.01,30,15,0.585
SB,0.3,-0.01,30,25,0.63
SB,0.3,-0.01,30,35,0.813
SB,0.3,-0.01,37.1,-15,1.278
SB,0.3,-0.01,37.1,-5,1.002
SB,0.3,-0.01,37.1,5,0.75
SB,0.3,-0.01,37.1,15,0.523
SB,0.3,-0.01,37.1,25,0.555
SB,0.3,-0.01,37.1,35,0.703
SB,0.3,0,12.1,-15,4.23
SB,0.3,0,12.1,-5,3.086
SB,0.3,0,12.1,5,2.107
SB,0.3,0,12.1,15,1.296
SB,0.3,0,12.1,25,1.404
SB,0.3,0,12.1,35,1.953
SB,0.3,0,18,-15,3.04
SB,0.3,0,18,-5,2.32
SB,0.3,0,18,5,1.696
SB,0.3,0,18,15,1.17
SB,0.3,0,18,25,1.243
SB,0.3,0,18,35,1.598
SB,0.3,0,25.2,-15,2.185
SB,0.3,0,25.2,-5,1.79
SB,0.3,0,25.2,5,1.432
SB,0.3,0,25.2,15,1.11
SB,0.3,0,25.2,25,1.167
SB,0.3,0,25.2,35,1.389
SB,0.3,0,30,-15,1.944
SB,0.3,0,30,-5,1.619
SB,0.3,0,30,5,1.323
SB,0.3,0,30,15,1.054
SB,0.3,0,30,25,1.099
SB,0.3,0,30,35,1.282
SB,0.3,0,37.1,-15,1.759
SB,0.3,0,37.1,-5,1.483
SB,0.3,0,37.1,5,1.232
SB,0.3,0,37.1,15,1.005
SB,0.3,0,37.1,25,1.037
SB,0.3,0,37.1,35,1.184
SB,0.3,0.01,12.1,-15,4.67
SB,0.3,0.01,12.1,-5,3.526
SB,0.3,0.01,12.1,5,2.547
SB,0.3,0.01,12.1,15,1.737
SB,0.3,0.01,12.1,25,1.844
SB,0.3,0.01,12.1,35,2.394
SB,0.3,0.01,18,-15,3.494
SB,0.3,0.01,18,-5,2.773
SB,0.3,0.01,18,5,2.15
SB,0.3,0.01,18,15,1.624
SB,0.3,0.01,18,25,1.696
SB,0.3,0.01,18,35,2.052
SB,0.3,0.01,25.2,-15,2.642
SB,0.3,0.01,25.2,-5,2.247
SB,0.3,0.01,25.2,5,1.889
SB,0.3,0.01,25.2,15,1.567
